Latitude,Longitude_km,Area_km2
-70.36036036036036,37.4150131824395,4165.039267469165
-70.18018018018017,37.744534403467256,4201.721569793975
-70.0,38.07368235501345,4238.362319760097
-69.81981981981983,38.4024537820138,4274.961155013776
-69.63963963963964,38.73084543312769,4311.5177136157745
-69.45945945945945,39.058854060770116,4348.031634044929
-69.27927927927928,39.386476421144025,4384.502555201752
-69.0990990990991,39.71370927427225,4420.930116411986
-68.91891891891892,40.04054938402971,4457.313957430187
-68.73873873873873,40.36699351817518,4493.653718443261
-68.55855855855856,40.69303844838337,4529.949040074036
-68.37837837837839,41.018680950277016,4566.199563384837
-68.1981981981982,41.343917803458474,4602.404929880997
-68.01801801801801,41.668745791541795,4638.564781514432
-67.83783783783784,41.99316170218435,4674.678760687162
-67.65765765765767,42.31716232711877,4710.746510254861
